bias_type,total_conversations,unique_personas,example_nudging_technique
Anchoring Bias,100,100,Cultural Framing Effect
Authority Bias,100,100,Social Proof
Availability Bias,100,100,Social Proof
Availability Heuristic,100,100,Reframing
Bandwagon Effect,100,100,Social Proof
Belief Bias,100,100,Social Proof
Confirmation Bias,100,100,Social Proof
Endowment Effect,100,100,Social Proof
Framing Effect,100,100,Social Proof
Gambler's Fallacy,100,100,Framing Effect
Halo Effect,100,100,Social Proof
Hindsight Bias,100,100,Anchoring Effect
Hyperbolic Discounting,100,100,Loss Aversion
IKEA Effect,100,100,Social Proof
In-group Bias,100,100,Social Proof
Loss Aversion,100,100,Cultural Framing
Negativity Bias,100,100,Cognitive Dissonance
Optimism Bias,100,100,Social Proof
Peak-End Rule,100,100,Social Proof
Present Bias,100,100,Temporal Discounting
Risk Aversion,100,100,Loss Aversion
Scarcity Bias,100,100,Abundance Mindset
Social Proof,100,100,Bandwagon Effect
Status Quo Bias,100,100,Cultural Framing
Sunk Cost Fallacy,100,100,Opportunity Cost
