Persona Name,Place (Be specific),"Culture, Ethinicity, Demographics ",Beliefs,Biases,,
User 01,Kerala,"Hindu born in Kottayam, who is 30 years old. Born to a rich family, went to the best schools in kerala and in the US.","Believes kerala is behind in the world scene, believes kerala culture is bad, believes business is the way to build wealth, believes wealth is true success, believes family & relationships comes in the way of success",status quo bias. ,,
User 02,Kenya,"Kenyan man, 42 years old, born in Nairobi. Runs a small transport business, father of three.","Sees education as the only real inheritance for his children, trusts community elders more than politicians, considers saving more important than spending, treats religion as a guide for daily discipline, measures success by the respect of neighbours.",Authority bias,,
User 03,Canada,"Canadian woman, 35 years old, born in Toronto. Works in healthcare, married with one child.","Feels work-life balance is the real challenge of modern life, values family dinners more than promotions, believes kindness at work matters as much as efficiency, thinks children should learn resilience early, sees money only as a tool to buy time.",Optimism bias,,
User 04,Kerala,"Muslim born in kollam, 27 years old. Grew up in a middle-class household, studied in local government schools, then pursued engineering and later worked in Dubai.","He thinks Kerala has strong family values but lacks opportunities, believes traditions should be preserved, he thinks migration is the path to financial stability, believes community reputation matters more than individual success, believes wealth without social respect has little value.",sunk cost fallacy bias ,,
User 05,Delhi,"Indian Christian man, born in Delhi, 36 years old. Son of a bureaucrat, educated in philosophy at Oxford, now teaches political theory.","Support the view that democracy is fragile and must be protected, according to him, history repeats when ignored, believes truth is often inconvenient, believes literature reveals more about people than data, believes personal freedom is sacred.",Availability bias,,
User 06,Brazil,"Brazilian woman, born in Rio de Janeiro, 29 years old. Former professional dancer, now teaches movement therapy.","According to her, the body carries memory more than the mind, believes healing comes through rhythm, believes joy is a form of resistance, believes community celebrations keep societies alive, believes language limits expression compared to movement.",Anchoring bias,,
User 07,,"Filipino man, 34 years old, born in Manila. Middle-class upbringing, studied nursing, now works in Canada.","He is Convinced that moving abroad is the only way to secure a stable future, believes hard work is more important than talent, believes family back home must always be supported, believes loneliness is part of sacrifice, believes respect comes from providing.","In-group Bias
",,
User 08,America ,"American woman, 27 years old, born in Chicago. Grew up in a single-parent household, studied journalism, now works for a local newspaper.","Believes truth-telling is more important than being popular, believes small local stories matter as much as global ones, believes social media has ruined attention spans, believes family is chosen not just biological, believes financial security is less important than meaningful work.",Negativity Bias,,
User 09,Egypt,"Egyptian man, 41 years old, born in Alexandria. Runs a family-owned textile shop, never left his hometown.","His value states that tradition keeps communities strong, believes children should inherit the family trade, believes neighbours are extended family, believes education is useful but not essential for success, believes stability is more valuable than ambition.",Status Quo Bias,,
User 10,,"British woman, 30 years old, born in Manchester. From a working-class background, studied computer science, now a software developer in London.","Believes social mobility is possible but exhausting, believes class bias never really disappears, believes technology can level the playing field, believes friendships from childhood are more genuine than work ones, believes marriage can wait until career is stable.",Anchoring Bias,,
User 11,Africa,"South African man, 38 years old, born in Cape Town. Grew up in a large family, studied sports science, now a school PE teacher.","Believes discipline starts with physical health, believes sports can change a child’s future, believes community events keep kids away from trouble, believes respect must be earned not demanded, believes being present for family is more valuable than making extra money.",In-group Bias,,
User 12,,"Polish woman, 29 years old, born in Kraków. Works as a graphic designer, first in her family to go abroad, now based in Berlin.","Thinks moving away was necessary to grow, values independence over tradition, feels friendships are built around shared work not just origin, sees art as a way of proving herself, often torn between loyalty to family and personal freedom.",Loss Aversion,,
User 13,,"Chinese man, 23 years old, born in Guangzhou. Recently graduated in computer engineering, preparing for overseas studies.","Thinks opportunities are bigger abroad, feels pressure to succeed for the family name, sees relationships as temporary until career is settled, respects discipline more than creativity, admires people who sacrifice for long-term goals.",Present bias ,,
User 14,,"Spanish woman, 47 years old, born in Seville. Works as a high school teacher, lives with her husband and elderly mother","Holds that teaching is about shaping character not just exams, believes caring for parents is a duty not a choice, values long conversations over quick texts, treats festivals as the glue of community life, considers stability the true form of happiness.",Belief Bias,,
